,0,1,2
105,-1.6494205630549472,-1.6142159522947936,-1.159234451215857
106,-1.6532719463855492,-1.6221477479562179,-1.1138002220689127
107,-1.6553338201344643,-1.6206351370191734,-1.0633795000985078
108,-1.6554009478958898,-1.6080995523383048,-1.0088987604497948
109,-1.6541872779320737,-1.5838028989259472,-0.9513539501697321
110,-1.6533517576816275,-1.5479979492690694,-0.8918513389237408
111,-1.654955546505486,-1.5018118596048666,-0.8314935218295244
112,-1.6607153352848492,-1.4468474836700487,-0.7711779402239364
113,-1.6714955986807758,-1.3846954675769125,-0.7115001656617357
114,-1.6871075604407775,-1.3166576870206634,-0.6528129363958124
115,-1.7063041887701678,-1.2437687793342167,-0.5954021762406416
116,-1.726952807090728,-1.166904978503941,-0.5396491472356832
117,-1.746385962102189,-1.0867183113452772,-0.48600637975873495
118,-1.7617929657832585,-1.0033992383806751,-0.4347917385900356
119,-1.7704768538155764,-0.9165036208624819,-0.3859657428446337
120,-1.7699649896807008,-0.824985272660837,-0.3389942913360145
121,-1.7580628888586722,-0.7274038753881373,-0.2928329433674956
122,-1.732904316080956,-0.622259376363531,-0.24604908356181088
123,-1.6930078750099955,-0.5084201380055309,-0.19703605730475524
124,-1.6373399722085766,-0.3856241282338616,-0.14426439103446473
125,-1.5654124141255406,-0.25502062150285426,-0.08657447203221076
126,-1.477438827201575,-0.11951879466800476,-0.023492640063930512
127,-1.374490767567072,0.016434608342076232,0.04458152518167997
128,-1.2586073979222148,0.14763555849751153,0.11644029731786863
129,-1.1328654563614446,0.2690361986606712,0.1902922861776091
130,-1.001308193108791,0.3766073421143774,0.2640012987982663
131,-0.8686239156685437,0.4681582053112007,0.3353011959219288
132,-0.7396725794367982,0.5437206310750933,0.4019725642150066
133,-0.6190045757530049,0.6051151067296181,0.4619357292271324
134,-0.5103523060727128,0.6550736318114948,0.5132244265475169
135,-0.41612112666065254,0.6965519422690061,0.5538429866284253
136,-0.33712041211510846,0.7323810326181026,0.5815986432298441
137,-0.27271036443523977,0.765092168437506,0.5941110179906228
138,-0.22124956981877114,0.7967999735038038,0.5891558756633692
139,-0.18057899185180074,0.8291158667552054,0.565227145114013
140,-0.14840632923362104,0.8630605793208805,0.5220069293231511
141,-0.12261987127831869,0.8989493470665352,0.4606166525935174
